stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00148P,,Bintaro Xchange,,-6.286813,106.728650,1,,0,2,,
B00149P,,Binus Kampus Kijang,,-6.194535,106.787570,1,,0,2,,
B00150P,,Binus Syahdan,,-6.200725,106.784720,1,,0,2,,
B00151P,,Binus University,,-6.201811,106.782650,1,,0,2,,
B00152P,,BKKBN 1,,-6.252902,106.880840,1,,0,2,,
B00153P,,BKKBN 2,,-6.253103,106.881080,1,,0,2,,
B00154P,,BKN 1,,-6.258026,106.869550,1,,0,2,,
B00155P,,BKN 2,,-6.258262,106.869840,1,,0,2,,
B00156P,,Blok A,,-6.188462,106.815580,1,,0,2,,
B00158P,,Blok E,,-6.184970,106.814630,1,,0,2,,
B00159P,,Blok F,,-6.188552,106.812490,1,,0,2,,
B00160P,,Blue Gas Pulo Gebang,,-6.210605,106.956450,1,,0,2,,
B00163P,,BNI Syariah,,-6.227256,106.832910,1,,0,2,,
B00164P,,Bona Indah Plaza,,-6.301283,106.780840,1,,0,2,,
B00165P,,Bongkaran Tanah Abang,,-6.189421,106.811590,1,,0,2,,
B00166P,,Boulevard Bukit Gading Raya,,-6.155150,106.895790,1,,0,2,,
B00167P,,Boulevard Hijau THB,,-6.183321,106.984060,1,,0,2,,
B00168P,,Boulevard Inspeksi Kali Sunter,,-6.151094,106.889010,1,,0,2,,
B00169P,,Boulevard Janur Elok Raya 1,,-6.150581,106.909540,1,,0,2,,
B00170P,,Boulevard Janur Elok Raya 2,,-6.150553,106.909220,1,,0,2,,
B00171P,,Boulevard Kelapa Cengkir Raya,,-6.165966,106.902110,1,,0,2,,
B00172P,,Boulevard Kelapa Hybrida Raya 1,,-6.148453,106.909650,1,,0,2,,
B00173P,,Boulevard Kelapa Hybrida Raya 2,,-6.148396,106.909350,1,,0,2,,
B00174P,,Boulevard Pelepah Raya,,-6.159256,106.903170,1,,0,2,,
B00175P,,BP3IP Sunter,,-6.137845,106.876190,1,,0,2,,
B00176P,,BPHN,,-6.259724,106.868340,1,,0,2,,
B00177P,,BPJS Jaksel,,-6.249682,106.843180,1,,0,2,,
B00178P,,BPJS Kesehatan Sultan Hasanudin,,-6.242517,106.802290,1,,0,2,,
B00179P,,BPJS Ketenagakerjaan Marunda,,-6.104983,106.932540,1,,0,2,,
B00180P,,BPK Penabur Kelapa Gading,,-6.147463,106.907960,1,,0,2,,
B00183P,,BRI Jakarta Kota,,-6.135104,106.807520,1,,0,2,,
B00129P,,Bercabuana Sakti,,-6.270086,106.765490,1,,0,2,,
B00184P,,BRI Menteng,,-6.186792,106.835140,1,,0,2,,
B00185P,,Brimob Pejaten Barat 2,,-6.270925,106.846440,1,,0,2,,
B00188P,,BSD Plaza 1,,-6.278263,106.661030,1,,0,2,,
B00189P,,BSD Plaza 2,,-6.280847,106.663050,1,,0,2,,
B00190P,,BSI 1,,-6.237724,106.762250,1,,0,2,,
B00191P,,BSI 2,,-6.237609,106.762520,1,,0,2,,
B00192P,,BSI Cengkareng,,-6.147973,106.727810,1,,0,2,,
B00138P,,Bidara Cina 1,,-6.229960,106.867336,1,,0,2,,
B00195P,,Buaran Plaza,,-6.217983,106.923500,1,,0,2,,
B00196P,,Buaran Raya,,-6.220456,106.921760,1,,0,2,,
B00197P,,Buddha Tzu Chi,,-6.107998,106.739420,1,,0,2,,
B00198P,,Budhaya Santo Agustinus,,-6.220866,106.923460,1,,0,2,,
B00199P,,Budhi Medika Meruya Utara,,-6.196934,106.732310,1,,0,2,,
B00200P,,Budi Kemulyaan,,-6.180223,106.817800,1,,0,2,,
B00201P,,Budiwarman 1,,-6.279071,106.870190,1,,0,2,,
B00205P,,Bukit Duri,,-6.215510,106.862930,1,,0,2,,
B00206P,,Bulak Rantai,,-6.284664,106.871230,1,,0,2,,
B00207P,,Bulak Turi,,-6.104952,106.970160,1,,0,2,,
B00208P,,Bulak Turi 2,,-6.105145,106.970090,1,,0,2,,
B00209P,,Bulog,,-6.237665,106.829170,1,,0,2,,
B00211P,,Bumi Jatiwaringin,,-6.275283,106.912820,1,,0,2,,
B00213P,,Bumi Perkemahan Ragunan,,-6.295825,106.821530,1,,0,2,,
B00214P,,Bumiputera,,-6.206839,106.822340,1,,0,2,,
B00215P,,Bunda Hati Kudus Jelambar,,-6.165552,106.784840,1,,0,2,,
B00216P,,Bundaran Alam Sutera 1,,-6.244107,106.648890,1,,0,2,,
B00217P,,Bundaran Alam Sutera 2,,-6.243905,106.649010,1,,0,2,,
B00218P,,Bundaran Cipinang Kebembem,,-6.211974,106.888910,1,,0,2,,
B00219P,,Bundaran Harapan Indah,,-6.183719,106.977270,1,,0,2,,
B00220P,,Bundaran Semper,,-6.128609,106.917590,1,,0,2,,
B00221P,,Bundaran Senayan 1,,-6.227445,106.801870,1,,0,2,,
B00222P,,Bundaran Senayan 2,,-6.227877,106.800680,1,,0,2,,
B00223P,,Bundaran Stainless Harapan Indah,,-6.178666,106.981320,1,,0,2,,
B00227P,,Carrefour Buaran,,-6.218653,106.923700,1,,0,2,,
B00228P,,Carrefour Harapan Indah,,-6.187189,106.976840,1,,0,2,,
B00229P,,Carrefour Lebak Bulus,,-6.287529,106.776800,1,,0,2,,
B00230P,,Carrefour Meruya Ilir,,-6.197521,106.751290,1,,0,2,,
B00232P,,Cawang Blue Bird,,-6.248836,106.878010,1,,0,2,,
B00233P,,Cawang Blue Bird 2,,-6.248866,106.877530,1,,0,2,,
B00234P,,Cawang Soetoyo 1,,-6.245440,106.875480,1,,0,2,,
B00235P,,Cawang Soetoyo 2,,-6.245259,106.876000,1,,0,2,,
B00237P,,Cek & Ricek,,-6.215349,106.729610,1,,0,2,,
B00238P,,Cempaka,,-6.277541,106.762230,1,,0,2,,
B00239P,,Cempaka Putih Tengah,,-6.176736,106.864440,1,,0,2,,
B00240P,,Cempaka Timur 2,,-6.166318,106.876170,1,,0,2,,
B00241P,,Centennial Tower,,-6.230377,106.820260,1,,0,2,,
B00242P,,Centro Metro Broadway,,-6.116362,106.761430,1,,0,2,,
B00243P,,Cervino Village,,-6.224355,106.851650,1,,0,2,,
B00244P,,Chase Plaza,,-6.210571,106.821290,1,,0,2,,
B00245P,,Child Care Pre School,,-6.257557,106.800900,1,,0,2,,
B00246P,,Ciba,,-6.342837,106.869010,1,,0,2,,
B00247P,,Cibubur Indah II,,-6.352070,106.887040,1,,0,2,,
B00248P,,Cibubur Junction,,-6.368735,106.893660,1,,0,2,,
B00249P,,Cideng Timur,,-6.166537,106.810730,1,,0,2,,
B00250P,,Cikajang Wolter Monginsidi,,-6.239122,106.810840,1,,0,2,,
B00251P,,Cilandak,,-6.291950,106.815190,1,,0,2,,
B00253P,,Cilandak Town Square,,-6.291991,106.799670,1,,0,2,,
B00255P,,Cililitan Besar 1,,-6.263567,106.867090,1,,0,2,,
B00256P,,Cililitan Besar 2,,-6.263478,106.866940,1,,0,2,,
B00257P,,Cililitan Kecil,,-6.261889,106.864230,1,,0,2,,
B00260P,,Cipinang Baru,,-6.206806,106.890250,1,,0,2,,
B00261P,,Cipinang Baru Bunder,,-6.207130,106.886030,1,,0,2,,
B05650P,,Taman Royal,,-6.173369,106.660590,1,,0,2,,
B00263P,,Cipinang Indah,,-6.229430,106.891160,1,,0,2,,
B00264P,,Cipinang Kb. Nanas 1,,-6.231595,106.876150,1,,0,2,,
B00265P,,Cipinang Kb. Nanas 2,,-6.231453,106.876470,1,,0,2,,
B00266P,,Cipinang Lontar,,-6.214031,106.888360,1,,0,2,,
B00267P,,Cipinang Lontar Rusun Polri,,-6.206815,106.887850,1,,0,2,,
B00268P,,Cipinang Melayu Kalimalang,,-6.240168,106.884730,1,,0,2,,
B00269P,,Cipinang Melayu Kalimalang 2,,-6.240040,106.882800,1,,0,2,,
B00270P,,Cipinang Melayu Kalimalang 3,,-6.240143,106.880770,1,,0,2,,
B00271P,,Cipinang Muara III Muara Jaya,,-6.218869,106.892600,1,,0,2,,
B00272P,,Cipta Karya Tata Ruang Pertahanan 1,,-6.179781,106.810410,1,,0,2,,
B01943P,,Kel. Semanan,,-6.159888,106.704980,1,,0,2,,
B00274P,,Cipta Rasuna Said,,-6.216146,106.830870,1,,0,2,,
B00275P,,Cipulir 1,,-6.237918,106.774900,1,,0,2,,
B00276P,,Cirendeu Permai,,-6.289561,106.768940,1,,0,2,,
B00278P,,City Walk Sudirman,,-6.209468,106.817830,1,,0,2,,
B00279P,,Classic Hotel,,-6.162308,106.830070,1,,0,2,,
B00281P,,Condet Raya,,-6.280969,106.855170,1,,0,2,,
B00282P,,CPI Belakang 1,,-6.237437,106.894360,1,,0,2,,
B00283P,,CPI Belakang 2,,-6.237257,106.894160,1,,0,2,,
B00284P,,Curug Kalimalang,,-6.247740,106.924540,1,,0,2,,
B00285P,,Cut Meutia,,-6.187542,106.832940,1,,0,2,,
B00203P,,Bukit Cinere Indah,,-6.340012,106.779910,1,,0,2,,
B00226P,,Buperta Cibubur,,-6.369608,106.896189,1,,0,2,,
B00254P,,Sbr. PGC,,-6.263311,106.865240,1,,0,2,,
B00286P,,Cyberpark Karawaci,,-6.222465,106.618440,1,,0,2,,
B00287P,,D Mall,,-6.387291,106.827300,1,,0,2,,
B00288P,,Daarus Saada Duri Kosambi,,-6.176932,106.707900,1,,0,2,,
B00289P,,Dahlia Town House,,-6.302547,106.787960,1,,0,2,,
B00290P,,Dammara,,-6.254190,106.831460,1,,0,2,,
B00291P,,Dana Reksa,,-6.181365,106.824510,1,,0,2,,
B00292P,,Danau Agung 1,,-6.147281,106.858200,1,,0,2,,
B00293P,,Danau Tmp Kalibata,,-6.255698,106.849440,1,,0,2,,
B00295P,,Dapsus 1,,-6.301135,106.794840,1,,0,2,,
B00296P,,Dapsus 2,,-6.301728,106.794630,1,,0,2,,
B00298P,,Dapsus 4,,-6.301649,106.794720,1,,0,2,,
B00299P,,Darmawangsa Square,,-6.253048,106.801160,1,,0,2,,
B00301P,,Dato Tonggara,,-6.283918,106.872220,1,,0,2,,
B00302P,,Depo LRT Pegangsaan Dua,,-6.155050,106.913700,1,,0,2,,
B00304P,,Dewan Pers,,-6.182996,106.827090,1,,0,2,,
B00305P,,Dharma Bakti Cijantung,,-6.318713,106.864630,1,,0,2,,
B00306P,,Dinas Kebersihan Duren Sawit,,-6.219815,106.923380,1,,0,2,,
B00307P,,Dinas Lingkungan Hidup,,-6.264168,106.870330,1,,0,2,,
B00308P,,Dinas Olahraga Dan Pemuda,,-6.219715,106.868020,1,,0,2,,
B00309P,,Dinas Pengawasan Dan Penertiban Bangunan,,-6.182268,106.811140,1,,0,2,,
B00310P,,Dipo Lokomotif Tanah Abang,,-6.182333,106.810890,1,,0,2,,
B00311P,,Dipo Tower,,-6.203007,106.800740,1,,0,2,,
B00312P,,Direktorat Jenderal Hortikultura,,-6.285538,106.839300,1,,0,2,,
